DEBUG:lynguine.config.interface:2025-05-18 18:38:24,754:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:25,027:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:25,485:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:25,485:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:25,485:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:25,485:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:25,485:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:25,486:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:25,801:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:26,244:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:26,244:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:26,244:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:26,244:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:26,244:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:26,244:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:26,536:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:26,979:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:26,979:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:26,979:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:26,979:Attempting to open file "./_lamd.yml".
DEBUG:lynguine.config.interface:2025-05-18 18:38:26,979:Reading yaml file "./_lamd.yml"
DEBUG:lynguine.config.interface:2025-05-18 18:38:26,980:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:27,257:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:27,694:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:27,694:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:27,694:Initialising lynguine.assess.Interface object.
INFO:numexpr.utils:2025-05-18 18:38:27,981:NumExpr defaulting to 8 threads.
DEBUG:lynguine.config.interface:2025-05-18 18:38:28,590:Attempting to open file "./_lynguine.yml".
INFO:lynguine.config.interface:2025-05-18 18:38:28,591:No configuration file found at "./_lynguine.yml". creating empty interface.
DEBUG:lynguine.config.interface:2025-05-18 18:38:28,591:Initialising lynguine.assess.Interface object.
DEBUG:lynguine.config.interface:2025-05-18 18:38:28,591:Attempting to open file "./_lamd.yml".
